Transaction_ID,Date,Year,Quarter,Month,Project_ID,Project_Name,Country,Location,Branch_or_Base,Donor_ID,Donor_Name,Grant_ID,Budget_Line_ID,Budget_Category,Budget_Line,Approved_Budget,Revised_Budget,Actual_Expenditure,Commitment,Forecast_Expenditure,Currency,Activity,Sector,Modality,Beneficiaries_Planned,Beneficiaries_Reached,Women,Men,Girls,Boys,Documentation_Status,Procurement_Status,Reporting_Status,Audit_Risk_Level,Compliance_Flag,Comments,Payment_Cycle,Transfer_Value,Households_Reached,Total_Cash_Transferred,PDM_Status,Distribution_Branch,Transfer_Modality,Donor_Deadline_Risk
"TXN-SYN-0001","2024-01-04","2024","Q1","January","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D004","UNICEF","G-UNIC-P001-2024","BL007","Health Services","Primary health service support","9879","9681","1839","387","3097","USD","Health service support","Health","In-kind","139","82","28","22","17","15","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","Low"
"TXN-SYN-0002","2024-02-07","2024","Q1","February","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D005","USAID","G-USAI-P002-2024","BL008","Logistics & Transport","Vehicle rental and fuel","11258","11145","2229","557","3901","USD","Cash assistance payment","CVA","Cash","158","95","32","26","20","17","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","110","21","2310","Pending","Lviv Branch","Prepaid card","Medium"
"TXN-SYN-0003","2024-03-10","2024","Q1","March","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D006","AECID","G-AECI-P003-2024","BL009","Training & Capacity Building","Branch and partner training","12637","12637","2654","758","4802","EUR","Cash assistance payment","CVA","Cash","177","108","37","29","23","19","Partial","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","23","2875","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0004","2024-04-13","2024","Q2","April","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D007","EU Delegation","G-EUDE-P004-2024","BL010","Monitoring & Evaluation","PDM and field monitoring","14016","14156","3114","991","5804","EUR","WASH service delivery","WASH","Service delivery","196","122","41","33","26","22","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Port Sudan Base","N/A","High"
"TXN-SYN-0005","2024-05-16","2024","Q2","May","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D008","Red Cross Movement","G-REDC-P005-2024","BL011","Administration","Office running costs","15395","15703","3612","1256","6909","CHF","Programme operations","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Bogota Office","N/A","Low"
"TXN-SYN-0006","2024-06-19","2024","Q2","June","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D009","Private Foundation","G-PRIV-P006-2024","BL012","Audit & Compliance","External audit and compliance checks","16774","17277","4146","1555","8120","USD","Health service support","Health","Support","234","150","51","41","32","26","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Medium"
"TXN-SYN-0007","2024-07-22","2024","Q3","July","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D010","Own Funds","G-OWNF-P001-2024","BL014","Indirect Costs","Indirect cost recovery","18153","18879","4720","1888","9440","EUR","Health service support","Health","In-kind","253","164","56","44","34","30","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0008","2024-08-01","2024","Q3","August","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D001","ECHO","G-ECHO-P002-2024","BL001","Human Resources","National staff salaries","19532","20509","5332","2256","10869","EUR","Cash assistance payment","CVA","Cash","272","180","61","49","38","32","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","Cycle 1","80","39","3120","Pending","Lviv Branch","Prepaid card","Low"
"TXN-SYN-0009","2024-09-04","2024","Q3","September","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D002","BMZ","G-BMZ-P003-2024","BL003","Programme Supplies","Medical and programme supplies","20911","20284","5477","2434","11359","EUR","Cash assistance payment","CVA","Cash","291","195","66","53","41","35","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","Cycle 2","95","42","3990","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0010","2024-10-07","2024","Q4","October","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D003","GFFO","G-GFFO-P004-2024","BL004","CVA Transfers","Unconditional cash transfers","22290","21844","6116","2840","12888","EUR","Cash assistance payment","WASH","Service delivery","310","211","72","57","44","38","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","110","46","5060","In progress","Port Sudan Base","Prepaid card","Medium"
"TXN-SYN-0011","2024-11-10","2024","Q4","November","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D004","UNICEF","G-UNIC-P005-2024","BL005","CVA Transfers","Winter cash top-up","23669","23432","6795","3280","14527","USD","Cash assistance payment","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","0","0","Pending","Bogota Office","Mobile money","High"
